course_title,num_lectures,price,num_subscribers,tradingCourse_revenue
How To Maximize Your Profits Trading Options,26,200,1276,255200
Trading Penny Stocks: A Guide for All Levels In 2017,25,150,9221,1383150
Investing And Trading For Beginners: Mastering Price Charts,26,65,1540,100100
"Trading Stock Chart Patterns For Immediate, Explosive Gains",23,95,2917,277115
Options Trading 3 : Advanced Stock Profit and Success Method,38,195,5172,1008540
Forex Trading Secrets of the Pros With Amazon's AWS,76,200,4284,856800
Trading Options With Money Flow,17,200,1380,276000
Forex Trading Course: Work Smarter Not Harder Proven Results,16,195,4061,791895
Python Algo Trading: Sentiment Trading with News,42,200,294,58800
The Complete Chart Pattern Trading Course: A Proven Approach,52,200,2666,533200
Winning Forex Trading with Live Forex Trading Examples,25,200,809,161800
Forex Traders - Create Your First Trading Robot. No Coding!,39,200,2295,459000
Create A Business From Home Trading Stocks Today In 2017,16,75,10149,761175
Forex Trading: Your Complete Guide to Get Started Like a Pro,37,140,1026,143640
Python Algo Stock Trading: Automate Your Trading!,41,95,1165,110675
Mastering High Probability Iron Condor Options Trading,22,200,1030,206000
Options Trading Stocks: Proven Toolbox For Financial Success,68,195,7884,1537380
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,52,195,16900,3295500
Options Trading - How to Win with Weekly Options,25,115,7489,861235
Black Algo Trading: Build Your Trading Robot,227,200,20195,4039000
Cryptocurrency Trading: Complete Guide To Trading Altcoins,35,95,367,34865
Three Steps Trading - Live Trading - Real Account,46,190,1197,227430
Option Trading for Rookies:  Understand Options Completely,62,150,2893,433950
How I Learned Stock Trading (and How You Can Too),53,200,1580,316000
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,23,125,2996,374500
Options Trading - Calendar Spread Course for Every Trader,17,200,1113,222600
How to Consistently Win Trading Stocks in 30 Days or Less,15,145,1433,207785
How to Buy Cheap Options - Options Trading Pricing Model,19,200,658,131600
"Comprehensive Guide to Financial Markets, Investing &Trading",79,60,4187,251220
Stock Trading Ninja: Complete System For Trading Success,38,155,9445,1463975
Algorithmic Trading In Forex: Create Your First Forex Robot!,40,185,7941,1469085
Options Trading Basics (3-Course Bundle),45,180,10100,1818000
How I Make Consistent Returns Trading Options,26,200,2310,462000
Options Trading Introduction: Day Trade Stock Options,30,95,12394,1177430
The Almost Perfect Options Trading Strategy System - Unique,15,200,1793,358600
Forex Trading -  Learn to Trade Forex Like the Banks,23,20,3223,64460
Learn to Trade for Profit:Trading with Japanese Candlesticks,45,60,16385,983100
The Most Powerful Options Spread Trading Front Ratio Spread,18,200,1487,297400
The Blueprint for Successful Stock Trading,15,120,2697,323640
Trading for Beginners - Intermediate Level,39,150,3979,596850
Start Trading Stocks Using Technical Analysis!,45,25,3190,79750
VPS for Forex Trading - Protect Your Forex Robots,24,160,4252,680320
Trading Options For Consistent Returns: Calendar Spreads,20,200,1214,242800
FOREX Trading with Price Action,19,195,484,94380
Emini ES Futures - Advanced Non Directional Options Trading,14,200,1057,211400
Forex Trading - Advanced Fundamental Analysis,49,20,1754,35080
Intermediate Options trading concepts for Stocks and Options,9,40,2000,80000
Options Trading 101: The Basics,11,0,1514,0
High performance Stock Trading using key Options techniques,6,40,2103,84120
Straddle Options Trading - Profit in Any Market Direction,19,200,837,167400
Fundamentals of Forex Trading,23,0,17160,0
"Binary Options: Trading Strategies, 90% Accuracy and Signals",24,195,1723,335985
Live Account - ETF Trading System - Hacking The Stock Market,16,150,2318,347700
Stock Market Leverage: How to Start Trading Options Wisely,13,95,2153,204535
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,25,20,1027,20540
