course_title,num_lectures,price,num_subscribers
How To Maximize Your Profits Trading Options,26,200,1276
Trading Penny Stocks: A Guide for All Levels In 2017,25,150,9221
Investing And Trading For Beginners: Mastering Price Charts,26,65,1540
"Trading Stock Chart Patterns For Immediate, Explosive Gains",23,95,2917
Options Trading 3 : Advanced Stock Profit and Success Method,38,195,5172
Forex Trading Secrets of the Pros With Amazon's AWS,76,200,4284
Trading Options With Money Flow,17,200,1380
Forex Trading Course: Work Smarter Not Harder Proven Results,16,195,4061
Python Algo Trading: Sentiment Trading with News,42,200,294
The Complete Chart Pattern Trading Course: A Proven Approach,52,200,2666
Winning Forex Trading with Live Forex Trading Examples,25,200,809
Forex Traders - Create Your First Trading Robot. No Coding!,39,200,2295
Create A Business From Home Trading Stocks Today In 2017,16,75,10149
Forex Trading: Your Complete Guide to Get Started Like a Pro,37,140,1026
Python Algo Stock Trading: Automate Your Trading!,41,95,1165
Mastering High Probability Iron Condor Options Trading,22,200,1030
Options Trading Stocks: Proven Toolbox For Financial Success,68,195,7884
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,52,195,16900
Options Trading - How to Win with Weekly Options,25,115,7489
Black Algo Trading: Build Your Trading Robot,227,200,20195
Cryptocurrency Trading: Complete Guide To Trading Altcoins,35,95,367
Three Steps Trading - Live Trading - Real Account,46,190,1197
Option Trading for Rookies:  Understand Options Completely,62,150,2893
How I Learned Stock Trading (and How You Can Too),53,200,1580
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,23,125,2996
Options Trading - Calendar Spread Course for Every Trader,17,200,1113
How to Consistently Win Trading Stocks in 30 Days or Less,15,145,1433
How to Buy Cheap Options - Options Trading Pricing Model,19,200,658
"Comprehensive Guide to Financial Markets, Investing &Trading",79,60,4187
Stock Trading Ninja: Complete System For Trading Success,38,155,9445
Algorithmic Trading In Forex: Create Your First Forex Robot!,40,185,7941
Options Trading Basics (3-Course Bundle),45,180,10100
How I Make Consistent Returns Trading Options,26,200,2310
Options Trading Introduction: Day Trade Stock Options,30,95,12394
The Almost Perfect Options Trading Strategy System - Unique,15,200,1793
Forex Trading -  Learn to Trade Forex Like the Banks,23,20,3223
